"","ANO","ED5","SEXO","ESC","FREC","Pob.cr"
"1",1,1,0,1,8,9343
"2",1,2,0,1,36,8148
"3",1,3,0,1,67,6155
"4",1,4,0,1,151,4760
"5",1,5,0,1,353,3226
"6",1,1,1,1,4,5717
"7",1,2,1,1,17,4944
"8",1,3,1,1,16,3479
"9",1,4,1,1,41,2171
"10",1,5,1,1,78,1699
"11",1,1,0,2,10,160212
"12",1,2,0,2,63,127756
"13",1,3,0,2,141,94444
"14",1,4,0,2,258,63297
"15",1,5,0,2,630,45501
"16",1,1,1,2,13,103130
"17",1,2,1,2,45,81576
"18",1,3,1,2,72,53306
"19",1,4,1,2,141,32356
"20",1,5,1,2,178,20307
"21",1,1,0,3,24,222035
"22",1,2,0,3,94,182583
"23",1,3,0,3,190,138355
"24",1,4,0,3,343,99273
"25",1,5,0,3,776,79048
"26",1,1,1,3,17,148954
"27",1,2,1,3,73,115643
"28",1,3,1,3,113,72553
"29",1,4,1,3,159,47418
"30",1,5,1,3,277,29109
"31",1,1,0,4,19,114985
"32",1,2,0,4,29,81102
"33",1,3,0,4,63,55211
"34",1,4,0,4,193,37803
"35",1,5,0,4,491,30072
"36",1,1,1,4,18,85624
"37",1,2,1,4,37,58794
"38",1,3,1,4,60,35816
"39",1,4,1,4,110,21559
"40",1,5,1,4,156,12473
"41",1,1,0,5,15,86788
"42",1,2,0,5,27,52784
"43",1,3,0,5,61,30638
"44",1,4,0,5,108,19919
"45",1,5,0,5,297,12738
"46",1,1,1,5,14,89550
"47",1,2,1,5,30,60550
"48",1,3,1,5,76,34206
"49",1,4,1,5,134,22247
"50",1,5,1,5,235,12941
"51",2,1,0,1,10,9705
"52",2,2,0,1,35,8464
"53",2,3,0,1,84,6393
"54",2,4,0,1,150,4944
"55",2,5,0,1,443,3351
"56",2,1,1,1,8,5938
"57",2,2,1,1,14,5136
"58",2,3,1,1,28,3614
"59",2,4,1,1,51,2255
"60",2,5,1,1,95,1765
"61",2,1,0,2,19,166418
"62",2,2,0,2,61,132705
"63",2,3,0,2,162,98102
"64",2,4,0,2,334,65749
"65",2,5,0,2,785,47264
"66",2,1,1,2,7,107125
"67",2,2,1,2,57,84736
"68",2,3,1,2,98,55371
"69",2,4,1,2,132,33609
"70",2,5,1,2,239,21094
"71",2,1,0,3,23,230636
"72",2,2,0,3,85,189656
"73",2,3,0,3,226,143714
"74",2,4,0,3,364,103119
"75",2,5,0,3,969,82110
"76",2,1,1,3,26,154724
"77",2,2,1,3,56,120123
"78",2,3,1,3,128,75363
"79",2,4,1,3,186,49255
"80",2,5,1,3,313,30237
"81",2,1,0,4,19,119439
"82",2,2,0,4,42,84244
"83",2,3,0,4,95,57350
"84",2,4,0,4,219,39267
"85",2,5,0,4,602,31237
"86",2,1,1,4,15,88941
"87",2,2,1,4,48,61071
"88",2,3,1,4,74,37203
"89",2,4,1,4,129,22394
"90",2,5,1,4,161,12956
"91",2,1,0,5,11,90150
"92",2,2,0,5,20,54829
"93",2,3,0,5,65,31825
"94",2,4,0,5,124,20691
"95",2,5,0,5,342,13231
"96",2,1,1,5,12,93019
"97",2,2,1,5,41,62896
"98",2,3,1,5,99,35531
"99",2,4,1,5,138,23109
"100",2,5,1,5,242,13442
"101",3,1,0,1,19,10081
"102",3,2,0,1,33,8792
"103",3,3,0,1,124,6641
"104",3,4,0,1,222,5136
"105",3,5,0,1,569,3481
"106",3,1,1,1,6,6168
"107",3,2,1,1,10,5335
"108",3,3,1,1,28,3754
"109",3,4,1,1,68,2342
"110",3,5,1,1,142,1833
"111",3,1,0,2,41,172865
"112",3,2,0,2,105,137846
"113",3,3,0,2,245,101902
"114",3,4,0,2,526,68296
"115",3,5,0,2,1440,49095
"116",3,1,1,2,24,111275
"117",3,2,1,2,80,88018
"118",3,3,1,2,168,57516
"119",3,4,1,2,249,34911
"120",3,5,1,2,401,21911
"121",3,1,0,3,25,239570
"122",3,2,0,3,52,197003
"123",3,3,0,3,167,149281
"124",3,4,0,3,287,107114
"125",3,5,0,3,739,85291
"126",3,1,1,3,30,160718
"127",3,2,1,3,53,124776
"128",3,3,1,3,120,78282
"129",3,4,1,3,112,51163
"130",3,5,1,3,237,31408
"131",3,1,0,4,14,124066
"132",3,2,0,4,41,87507
"133",3,3,0,4,102,59572
"134",3,4,0,4,290,40788
"135",3,5,0,4,732,32447
"136",3,1,1,4,17,92386
"137",3,2,1,4,46,63437
"138",3,3,1,4,89,38644
"139",3,4,1,4,126,23261
"140",3,5,1,4,225,13458
"141",3,1,0,5,10,93642
"142",3,2,0,5,19,56953
"143",3,3,0,5,49,33058
"144",3,4,0,5,80,21493
"145",3,5,0,5,309,13744
"146",3,1,1,5,17,96622
"147",3,2,1,5,36,65332
"148",3,3,1,5,65,36907
"149",3,4,1,5,142,24004
"150",3,5,1,5,263,13963
"151",4,1,0,1,16,10471
"152",4,2,0,1,53,9132
"153",4,3,0,1,112,6898
"154",4,4,0,1,247,5334
"155",4,5,0,1,617,3616
"156",4,1,1,1,13,6407
"157",4,2,1,1,20,5542
"158",4,3,1,1,36,3899
"159",4,4,1,1,70,2433
"160",4,5,1,1,140,1904
"161",4,1,0,2,36,179561
"162",4,2,0,2,100,143185
"163",4,3,0,2,319,105850
"164",4,4,0,2,594,70942
"165",4,5,0,2,1569,50997
"166",4,1,1,2,48,115585
"167",4,2,1,2,73,91428
"168",4,3,1,2,188,59744
"169",4,4,1,2,281,36263
"170",4,5,1,2,468,22760
"171",4,1,0,3,18,248850
"172",4,2,0,3,49,204634
"173",4,3,0,3,129,155064
"174",4,4,0,3,256,111263
"175",4,5,0,3,690,88595
"176",4,1,1,3,22,166943
"177",4,2,1,3,49,129610
"178",4,3,1,3,96,81315
"179",4,4,1,3,118,53145
"180",4,5,1,3,219,32625
"181",4,1,0,4,20,128872
"182",4,2,0,4,45,90897
"183",4,3,0,4,122,61879
"184",4,4,0,4,278,42368
"185",4,5,0,4,845,33704
"186",4,1,1,4,18,95965
"187",4,2,1,4,52,65894
"188",4,3,1,4,85,40141
"189",4,4,1,4,142,24163
"190",4,5,1,4,275,13979
"191",4,1,0,5,11,97270
"192",4,2,0,5,21,59159
"193",4,3,0,5,46,34338
"194",4,4,0,5,97,22325
"195",4,5,0,5,282,14276
"196",4,1,1,5,17,100365
"197",4,2,1,5,34,67863
"198",4,3,1,5,82,38337
"199",4,4,1,5,139,24934
"200",4,5,1,5,273,14504
"201",5,1,0,1,21,10877
"202",5,2,0,1,41,9486
"203",5,3,0,1,130,7165
"204",5,4,0,1,206,5541
"205",5,5,0,1,708,3756
"206",5,1,1,1,7,6655
"207",5,2,1,1,22,5756
"208",5,3,1,1,50,4050
"209",5,4,1,1,80,2527
"210",5,5,1,1,142,1978
"211",5,1,0,2,30,186517
"212",5,2,0,2,101,148732
"213",5,3,0,2,331,109950
"214",5,4,0,2,591,73690
"215",5,5,0,2,1753,52972
"216",5,1,1,2,32,120063
"217",5,2,1,2,94,94970
"218",5,3,1,2,178,62058
"219",5,4,1,2,273,37668
"220",5,5,1,2,477,23642
"221",5,1,0,3,25,258490
"222",5,2,0,3,53,212561
"223",5,3,0,3,136,161071
"224",5,4,0,3,228,115573
"225",5,5,0,3,727,92027
"226",5,1,1,3,20,173410
"227",5,2,1,3,59,134630
"228",5,3,1,3,118,84465
"229",5,4,1,3,126,55204
"230",5,5,1,3,235,33889
"231",5,1,0,4,18,133864
"232",5,2,0,4,47,94418
"233",5,3,0,4,105,64276
"234",5,4,0,4,249,44009
"235",5,5,0,4,930,35010
"236",5,1,1,4,23,99683
"237",5,2,1,4,64,68447
"238",5,3,1,4,105,41696
"239",5,4,1,4,145,25099
"240",5,5,1,4,266,14521
"241",5,1,0,5,14,101038
"242",5,2,0,5,18,61451
"243",5,3,0,5,72,35669
"244",5,4,0,5,95,23190
"245",5,5,0,5,300,14829
"246",5,1,1,5,14,104253
"247",5,2,1,5,43,70492
"248",5,3,1,5,92,39822
"249",5,4,1,5,141,25900
"250",5,5,1,5,325,15065
